strategy,ticket_date,leg_a,leg_b,combo_odds,is_hit,leg_a_league,leg_a_odds,leg_a_type,leg_b_league,leg_b_odds,leg_b_type,pnl
frequency_selector,2024-11-22,202411236011,202411236022,11.83,False,意甲,3.5,handicap_draw,英冠,3.38,draw,-100.0
frequency_selector,2024-11-23,202411240012,202411240016,11.56,False,意甲,3.4,draw,英冠,3.4,draw,-100.0
frequency_selector,2024-11-24,202411240001,202411240013,10.458,False,韩职,3.15,draw,法甲,3.32,draw,-100.0
frequency_selector,2024-11-30,202411306013,202412010021,12.78,False,英冠,3.55,draw,法甲,3.6,draw,-100.0
frequency_selector,2024-12-08,202412080007,202412080009,12.6025,True,意甲,3.55,handicap_draw,德乙,3.55,handicap_draw,1160.25
frequency_selector,2024-12-14,202412146001,202412146013,13.125,False,澳超,3.75,handicap_draw,意甲,3.5,handicap_draw,-100.0
frequency_selector,2024-12-21,202412220014,202412220023,13.2495,False,英超,3.65,handicap_draw,荷乙,3.63,handicap_draw,-100.0
frequency_selector,2024-12-26,202412264006,202412264012,11.47,False,英超,3.7,handicap_draw,英冠,3.1,draw,-100.0
frequency_selector,2024-12-29,202412290010,202412290011,11.39,False,英超,3.35,draw,英冠,3.4,draw,-100.0
frequency_selector,2025-01-04,202501046006,202501050008,11.76,False,法乙,3.36,draw,西国王杯,3.5,draw,-100.0
frequency_selector,2025-01-10,202501105001,202501116017,13.0065,False,澳超,3.77,draw,英足总杯,3.45,draw,-100.0
frequency_selector,2025-01-18,202501190002,202501190008,10.395,False,意甲,3.15,draw,英超,3.3,draw,-100.0
frequency_selector,2025-01-25,202501256004,202501256013,11.5575,False,意甲,3.45,draw,英超,3.35,draw,-100.0
frequency_selector,2025-02-08,202502086009,202502090002,11.375,False,英足总杯,3.25,draw,意甲,3.5,draw,-100.0
frequency_selector,2025-02-14,202502156007,202502156011,13.6675,False,意甲,3.55,handicap_draw,英超,3.85,handicap_draw,-100.0
frequency_selector,2025-02-15,202502156001,202502156009,11.97,False,日职,3.42,draw,德甲,3.5,handicap_draw,-100.0
frequency_selector,2025-02-22,202502226012,202502230008,12.88,False,英超,3.5,handicap_draw,荷甲,3.68,handicap_draw,-100.0
frequency_selector,2025-02-23,202502230004,202502230011,10.304,False,韩职,3.2,draw,法甲,3.22,draw,-100.0
frequency_selector,2025-03-01,202503020003,202503020011,12.6,False,韩职,3.5,draw,意甲,3.6,draw,-100.0
frequency_selector,2025-03-08,202503090009,202503090011,13.14,True,荷甲,3.6,handicap_draw,英超,3.65,draw,1214.0
frequency_selector,2025-03-09,202503090002,202503090007,10.54,False,日乙,3.1,draw,意甲,3.4,draw,-100.0
frequency_selector,2025-03-15,202503156016,202503160019,11.286,False,英超,3.42,draw,荷甲,3.3,draw,-100.0
frequency_selector,2025-03-16,202503160001,202503160004,10.3668,False,日职,3.26,draw,日职,3.18,draw,-100.0
frequency_selector,2025-03-26,202503263005,202503263007,11.78,False,日联赛杯,3.1,draw,日联赛杯,3.8,draw,-100.0
frequency_selector,2025-03-28,202503296012,202503296020,12.07,False,意甲,3.55,draw,英冠,3.4,draw,-100.0
frequency_selector,2025-03-29,202503300007,202503300024,12.9575,False,荷甲,3.55,draw,法甲,3.65,draw,-100.0
frequency_selector,2025-03-30,202503300006,202503300008,11.05,False,韩职,3.25,draw,意甲,3.4,draw,-100.0
frequency_selector,2025-04-05,202504056012,202504060022,12.627,True,德甲,3.66,handicap_draw,英超,3.45,draw,1162.7
frequency_selector,2025-04-06,202504060011,202504060021,11.22,False,英超,3.4,draw,法甲,3.3,draw,-100.0
frequency_selector,2025-04-09,202504093001,202504093006,11.055,False,日职,3.35,draw,韩职,3.3,draw,-100.0
frequency_selector,2025-04-12,202504126011,202504130004,12.78,False,德甲,3.6,handicap_draw,韩职,3.55,draw,-100.0
frequency_selector,2025-04-13,202504130003,202504130005,11.725,False,韩职,3.5,draw,意甲,3.35,draw,-100.0
frequency_selector,2025-04-18,202504185003,202504196006,12.58,False,英冠,3.4,draw,德甲,3.7,draw,-100.0
frequency_selector,2025-04-19,202504200003,202504200015,12.6,True,日职,3.6,draw,法甲,3.5,handicap_draw,1160.0
frequency_selector,2025-04-26,202504270002,202504270013,12.075,False,荷甲,3.45,draw,意甲,3.5,draw,-100.0
frequency_selector,2025-05-03,202505036009,202505036020,10.758,False,英冠,3.3,draw,葡超,3.26,draw,-100.0
frequency_selector,2025-05-04,202505040015,202505051001,12.2475,False,德甲,3.55,draw,韩职,3.45,draw,-100.0
frequency_selector,2025-05-11,202505110001,202505110006,11.946,False,日职,3.3,draw,瑞超,3.62,handicap_draw,-100.0
frequency_selector,2025-05-17,202505180016,202505180017,12.2275,False,英超,3.65,draw,瑞超,3.35,draw,-100.0
frequency_selector,2025-05-18,202505180003,202505180009,12.6,False,日乙,3.15,draw,荷甲,4.0,draw,-100.0
frequency_selector,2025-05-23,202505235002,202505246005,10.4,True,韩职,3.2,draw,瑞超,3.25,draw,940.0
frequency_selector,2025-05-24,202505250005,202505250011,12.42,False,西甲,3.6,draw,瑞超,3.45,draw,-100.0
frequency_selector,2025-05-31,202505316003,202505316015,12.6,False,日乙,3.5,draw,瑞超,3.6,draw,-100.0
frequency_selector,2025-06-01,202506010005,202506010010,11.766,True,韩职,3.7,draw,挪超,3.18,draw,1076.6
frequency_selector,2025-06-04,202506043004,202506054002,13.3245,False,日联赛杯,3.15,draw,世预赛,4.23,draw,-100.0
frequency_selector,2025-06-08,202506080002,202506080003,12.87,False,日乙,3.9,draw,日联赛杯,3.3,draw,-100.0
frequency_selector,2025-06-17,202506172002,202506183002,12.025,False,韩职,3.7,draw,韩职,3.25,draw,-100.0
frequency_selector,2025-06-21,202506216007,202506220008,12.24,False,日职,3.4,draw,挪超,3.6,draw,-100.0
frequency_selector,2025-06-27,202506275003,202506286005,13.14,True,芬超,3.65,draw,日乙,3.6,draw,1214.0
frequency_selector,2025-06-28,202506286002,202506290011,11.385,False,日乙,3.45,draw,挪超,3.3,draw,-100.0
frequency_selector,2025-07-05,202507056011,202507060005,11.05,True,瑞超,3.25,draw,挪超,3.4,draw,1005.0
frequency_selector,2025-07-12,202507126007,202507130012,11.5575,False,日乙,3.45,draw,挪超,3.35,draw,-100.0
frequency_selector,2025-07-13,202507130003,202507130005,10.4975,False,瑞超,3.23,draw,挪超,3.25,draw,-100.0
frequency_selector,2025-07-15,202507152002,202507163003,11.375,False,东亚锦,3.25,draw,日天皇杯,3.5,draw,-100.0
frequency_selector,2025-07-20,202507200003,202507200012,11.6245,False,日职,3.47,draw,瑞超,3.35,draw,-100.0
frequency_selector,2025-07-26,202507266009,202507270011,11.8925,False,挪超,3.35,draw,瑞超,3.55,handicap_draw,-100.0
frequency_selector,2025-07-27,202507270005,202507270008,10.812,False,瑞超,3.4,draw,挪超,3.18,draw,-100.0
frequency_selector,2025-08-02,202508026001,202508030013,12.321,False,日乙,3.33,draw,挪超,3.7,draw,-100.0
frequency_selector,2025-08-03,202508030001,202508030002,12.87,False,日乙,3.3,draw,德乙,3.9,draw,-100.0
frequency_selector,2025-08-09,202508096008,202508100016,12.765,False,瑞超,3.45,draw,挪超,3.7,handicap_draw,-100.0
frequency_selector,2025-08-10,202508100012,202508100017,10.5794,True,瑞超,3.38,draw,挪超,3.13,draw,957.94
frequency_selector,2025-08-16,202508166005,202508170015,12.848,False,韩职,3.65,handicap_draw,瑞超,3.52,draw,-100.0
