match_id,match_date,league,home_team,away_team,rule_name,channel,bet_type,odds,hit,pnl,hcap,rank_gap,had_d,hhad_d,home_recent_win_by_1_rate,away_recent_loss_by_1_rate,away_recent_ga_per_match,h2h_draw_rate,h2h_one_goal_margin_rate,recent_low_scoring_sum
202503086001,2025-03-08,日乙,大宫松鼠,山口雷诺,DRAW_V32_CORE,draw,draw,4.0,False,-100.0,0.75,,4.0,3.1,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.16666666666666666,1.0,1.1666666666666667
202503090011,2025-03-09,英超,热刺,伯恩茅斯,DRAW_V32_CORE,draw,draw,3.65,True,265.0,-0.25,,3.65,4.4,0.16666666666666666,0.3333333333333333,1.1666666666666667,0.11764705882352941,0.5,1.1666666666666665
202503090009,2025-03-09,荷甲,兹沃勒,阿贾克斯,HDRAW_V32_CORE,hdraw,handicap_draw,3.6,True,260.0,-1.0,9,4.1,3.6,0.0,0.16666666666666666,0.6666666666666666,0.14814814814814814,0.16666666666666666,1.0
202503090007,2025-03-09,意甲,维罗纳,博洛尼亚,DRAW_V32_CORE,draw,draw,3.4,False,-100.0,-0.75,7,3.4,3.15,0.3333333333333333,0.0,1.0,0.25,0.5,1.3333333333333335
202503090003,2025-03-09,韩职,蔚山现代,济州SK,DRAW_V32_CORE,draw,draw,3.85,False,-100.0,0.75,,3.85,3.1,0.3333333333333333,0.3333333333333333,1.1666666666666667,0.25806451612903225,0.5,1.3333333333333335
202503090002,2025-03-09,日乙,富山胜利,磐田喜悦,DRAW_V32_CORE,draw,draw,3.1,False,-100.0,-0.25,11,3.1,3.55,0.3333333333333333,0.16666666666666666,1.1666666666666667,0.0,0.6666666666666666,1.1666666666666665
202503156023,2025-03-15,葡超,法伦斯,布拉加,DRAW_V32_CORE,draw,draw,3.2,False,-100.0,-0.25,11,3.2,3.45,0.0,0.3333333333333333,0.5,0.25,0.5,1.3333333333333335
202503156020,2025-03-15,英冠,斯旺西,伯恩利,DRAW_V32_CORE,draw,draw,3.15,False,-100.0,-0.25,11,3.15,3.25,0.16666666666666666,0.0,0.8333333333333334,0.07692307692307693,0.6666666666666666,1.0
202503156016,2025-03-15,英超,伊普斯,诺丁汉,DRAW_V32_CORE,draw,draw,3.42,False,-100.0,-0.5,,3.42,3.6,0.0,0.3333333333333333,1.5,0.35714285714285715,0.3333333333333333,1.0
202503156007,2025-03-15,澳超,珀斯,布里斯班,DRAW_V32_CORE,draw,draw,3.5,False,-100.0,0.0,,3.5,4.3,0.0,0.16666666666666666,1.6666666666666667,0.1896551724137931,0.8333333333333334,1.3333333333333333
202503160019,2025-03-16,荷甲,阿贾克斯,阿尔克马,DRAW_V32_CORE,draw,draw,3.3,True,229.99999999999997,0.5,,3.3,3.55,0.3333333333333333,0.0,1.6666666666666667,0.24074074074074073,0.5,1.0
202503160004,2025-03-16,日职,湘南海洋,神户胜利,DRAW_V32_CORE,draw,draw,3.18,False,-100.0,-0.25,,3.18,4.3,0.5,0.16666666666666666,1.6666666666666667,0.32142857142857145,0.5,1.1666666666666665
202503160001,2025-03-16,日职,广岛三箭,柏太阳神,DRAW_V32_CORE,draw,draw,3.26,True,225.99999999999997,0.5,13,3.26,3.48,0.3333333333333333,0.0,0.8333333333333334,0.325,0.6666666666666666,1.1666666666666665
202503230003,2025-03-23,日乙,大宫松鼠,水户蜀葵,DRAW_V32_CORE,draw,draw,3.5,False,-100.0,0.75,,3.5,3.3,0.5,0.16666666666666666,1.1666666666666667,0.125,0.5,1.0
202503263007,2025-03-26,日联赛杯,大宫松鼠,磐城FC,DRAW_V32_CORE,draw,draw,3.8,True,280.0,0.75,,3.8,3.25,0.5,0.16666666666666666,1.1666666666666667,0.0,0.5,1.5
